Product,Price
Shrimp - Black Tiger 6 - 8,3966
Cheese - Stilton,3703
Magnotta - Bel Paese White,648
Tomatoes - Roma,4385
"Yogurt - Peach, 175 Gr",929
"Pasta - Lasagna, Dry",8499
Compound - Strawberry,4943
Creamers - 10%,6271
Cinnamon Rolls,2000
"Cake Circle, Paprus",1513
Sage Ground Wiberg,2255
Food Colouring - Blue,8366
Wonton Wrappers,5289
Puree - Guava,5968
Appetizer - Asian Shrimp Roll,4587
Temperature Recording Station,3258
Juice Peach Nectar,9383
Sauce - Rosee,8300
Anchovy In Oil,6039
Vinegar - Cider,302
Beef Wellington,8374
Remy Red,3347
Milk - 2%,5631
Lobster - Tail 6 Oz,2344
Rice - Jasmine Sented,6992
Dc Hikiage Hira Huba,5646
Lettuce - California Mix,8826
Pork - European Side Bacon,6659
Salt And Pepper Mix - White,8833
Anchovy Fillets,4837
Beef - Rib Eye Aaa,5394
Pork Ham Prager,7087
"Roe - Lump Fish, Black",9756
Bread - Raisin Walnut Pull,7879
Longos - Lasagna Veg,3597
Herb Du Provence - Primerba,49
Wine - Pinot Noir Mondavi Coastal,4300
Cumin - Ground,1889
"Water - Spring Water, 355 Ml",5560
Cheese - Mozzarella,6099
Fork - Plastic,5156
"Tart Shells - Savory, 4",6053
Rice Paper,6995
"Wine - White, Concha Y Toro",3801
Dasheen,5260
Tilapia - Fillets,714
Muffin Mix - Banana Nut,6602
Grouper - Fresh,9458
Turkey Leg With Drum And Thigh,9144
Strawberries,1521
Taro Leaves,6818
Syrup - Kahlua Chocolate,7353
Stock - Fish,4277
Cookies - Assorted,2049
Hand Towel,270
Wine - Lamancha Do Crianza,7406
Bread - Multigrain,4601
"Basil - Dry, Rubbed",7548
Wine - Casillero Deldiablo,2377
"Beans - Fava, Canned",7804
Longos - Penne With Pesto,9094
Duck - Fat,9102
Wine - Cousino Macul Antiguas,453
Sauerkraut,9577
Dome Lid Clear P92008h,1
Wine - Gato Negro Cabernet,3241
Tahini Paste,891
"Pasta - Rotini, Colour, Dry",7655
